Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF/25V,C_0805_2012Metric,61.214,-37.211,180.0,top
C2,10uF/25V,C_0805_2012Metric,62.103,-25.908,0.0,top
C3,100nF/16V,C_0805_2012Metric,73.279,-35.687,-90.0,top
C4,22uF/25V,C_0805_2012Metric,62.103,-23.749,0.0,top
C5,1uF/10V,C_0805_2012Metric,70.993,-35.687,-90.0,top
C6,100uF/6.3V,C_1206_3216Metric,68.58,-35.687,-90.0,top
C8,100uF,CP_Radial_D6.3mm_P2.50mm,27.1145,-27.1145,90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.9405,-25.8445,-90.0,top
C12,100uF,CP_Radial_D8.0mm_P3.50mm,43.7515,-24.511,0.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.0685,-30.7975,0.0,top
D1,D_Small,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,52.7685,-31.623,0.0,top
D6,1N5817,D_SOD-123,35.2425,-30.7975,0.0,top
J1,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,44.069,-50.7365,0.0,top
J2,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,59.309,-50.7365,0.0,top
J3,PWR_IN,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",25.2095,-32.9565,-90.0,top
J4,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,74.549,-50.7365,0.0,top
J5,Conn_Left,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,115.6843,-43.9547,90.0,top
J6,Screw_Terminal_01x03,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,89.789,-50.7365,0.0,top
J7,ProgrammingHeader,PinSocket_1x06_P2.54mm_Vertical,100.711,-21.844,90.0,top
JP1,CON,PinHeader_1x02_P2.54mm_Vertical,107.3404,-38.862,0.0,top
L3,L_Small,L_6.3x6.3_H3,36.5125,-35.8775,0.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.6259,-31.0007,0.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.2155,-26.416,90.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.088,-28.956,0.0,top
R4,120R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.744,-37.846,90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.5835,-25.5905,-90.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.882,-41.148,-90.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.393,-34.417,90.0,top
R8,200R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,52.705,-35.7505,180.0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.6528,-28.8036,-90.0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.582,-41.122,-90.0,top
SW1,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,69.088,-23.3635,90.0,top
SW2,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,98.679,-29.4005,0.0,top
SW3,SW_SPST,SW_Push_SPST_NO_Alps_SKRK,115.5812,-32.8796,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,61.087,-31.496,90.0,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,101.7397,-36.322,-90.0,top
U3,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,69.342,-41.529,90.0,top
U4,LM2594HVM-5.0,SOIC-8_3.9x4.9mm_P1.27mm,37.2745,-26.4795,180.0,top
U5,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,82.169,-41.503,90.0,top
U8,ESP-12E,ESP-12E,84.1375,-24.892,0.0,top
