Comment,Designator,Footprint,LCSC
100uF/6.3V,C1,C_1206_3216Metric,C15008
100uF,C12,CP_Radial_D8.0mm_P3.50mm,C178703
LM2594HVM-5.0,U4,SOIC-8_3.9x4.9mm_P1.27mm,C179674
MAX485E,U2,SOIC-8_3.9x4.9mm_P1.27mm,C19738
L_Small,L3,L_6.3x6.3_H3,C206230
CON,JP1,PinHeader_1x02_P2.54mm_Vertical,C234182
10K,"R1,R2,R3,R5,R6,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25612
AMS1117-3.3,U1,SOT-223-3_TabPin2,C2891839
10uF/25V,"C2,C3",C_0805_2012Metric,C2922480
100uF,C8,CP_Radial_D6.3mm_P2.50mm,C47859
100nF,"C11,C13",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
100nF/16V,C6,C_0805_2012Metric,C519929
22uF/25V,C4,C_0805_2012Metric,C602037
Screw_Terminal_01x03,"J1,J2,J4,J6",TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,C72334
1N5817,D6,D_SOD-123,C727113
74LVC2T45DC,"U5,U6",VSSOP-8_2.3x2mm_P0.5mm,C730237
PWR_IN,J3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",C8404
1uF/10V,C5,C_0805_2012Metric,C92812
120R,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C966144
Conn_Left,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
SW_SPST,SW1,SW_Push_SPST_NO_Alps_SKRK,
ESP32-WROOM-32,U3,ESP32-WROOM-32,
D_Small,D1,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
200R,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
SW_SPST,SW2,SW_Push_SPST_NO_Alps_SKRK,
ProgrammingHeader,J7,PinSocket_1x06_P2.54mm_Vertical,
SW_SPST,SW3,SW_Push_SPST_NO_Alps_SKRK,
MountingHole,H1,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H3,MountingHole_3.2mm_M3,
